instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
ED_n060_023_a75_069,ED,60,0.75,3,0,1993.0,2002,0.4495504495504496,1,91.49376169987954,282.8962860999163,OBJ+1 tier->0
ED_n060_023_a75_069,ED,60,0.75,4,0,2000.0,2002,0.0999000999000999,1,90.07494980003685,372.97126829996705,OBJ+7 tier->0
EB_n100_001_a75_003,EB,100,0.75,1,0,3114.0,3115,0.03210272873194221,1,90.0750053001102,90.07504000002518,OBJ+2 tier->0
EC_n050_001_a50_002,EC,50,0.5,1,0,1103.0,1107,0.36133694670280037,2,90.4624537001364,90.46247480018064,OBJ+10 tier->0
EC_n050_001_a50_002,EC,50,0.5,2,1,1103.0,1107,0.36133694670280037,2,90.15084850019775,180.61336290021427,STALL→tier0→1 d_max=5
EC_n050_001_a50_002,EC,50,0.5,3,2,1103.0,1107,0.36133694670280037,2,90.22279400005937,271.25233650021255,STALL→tier1→2 d_max=7
EC_n050_001_a50_002,EC,50,0.5,4,2,1103.0,1104,0.09057971014492754,2,90.00516559998505,361.6710137000773,UB_TIGHT→GAP<0.3%
D_n040_001_a25_001,D,40,0.25,1,0,715.0,715,0.0,0,0.0,0.0,UB_PROVEN_INIT
EC_n050_001_a25_001,EC,50,0.25,1,0,421.0,421,0.0,1,0.2846286999993026,0.2846554999705404,UB_STOP
ED_n040_001_a25_001,ED,40,0.25,1,0,412.0,411,0.0,0,0.0,0.0,UB_PROVEN_INIT
C_n050_001_a50_002,C,50,0.5,1,0,1236.0,1240,0.3225806451612903,2,90.26746630016714,90.26750690001063,OBJ+10 tier->0
C_n050_001_a50_002,C,50,0.5,2,1,1236.0,1240,0.3225806451612903,2,90.0172317000106,180.28477349993773,STALL→tier0→1 d_max=7
C_n050_001_a50_002,C,50,0.5,3,2,1236.0,1240,0.3225806451612903,2,90.0274809000548,270.6420862998348,STALL→tier1→2 d_max=10
C_n050_001_a50_002,C,50,0.5,4,2,1236.0,1237,0.08084074373484236,2,90.03581509995274,360.9794966999907,UB_TIGHT→GAP<0.3%
C_n065_018_a25_052,C,65,0.25,1,0,1386.0,1390,0.28776978417266186,2,90.38463640003465,90.38466179999523,OBJ+19 tier->0
C_n065_018_a25_052,C,65,0.25,2,1,1386.0,1390,0.28776978417266186,2,90.02143540000543,180.40614089998417,STALL→tier0→1 d_max=6
C_n065_018_a25_052,C,65,0.25,3,2,1386.0,1390,0.28776978417266186,2,90.23996320017613,271.72355360002257,STALL→tier1→2 d_max=9
C_n065_018_a25_052,C,65,0.25,4,2,1386.0,1386,0.0,2,90.48011990007944,363.13011149992235,UB_TIGHT→GAP<0.3%
