instance,family,n,alpha,lb_incumbent,bks,method,upper_bound,gap_pct,runtime_s,iterations,invalid_vs_lb,invalid_vs_bks,extra
C_n050_001_a25_001,C,50,0.25,735.0,735.0,cutLR_pair_warm_100,735.0494296352213,0.006724668196231213,0.39291450002929196,200,False,False,base_ub=738.2338393938601;cut_ub=735.0494296352213;cap_cuts=39;incomp_cuts=91;pos_gamma=3;pos_nu=3
C_n050_001_a25_001,C,50,0.25,735.0,735.0,cutLR_triple_warm_100,735.0494296352213,0.006724668196231213,0.3745950000593439,200,False,False,base_ub=738.2338393938601;cut_ub=735.0494296352213;cap_cuts=39;incomp_cuts=93;pos_gamma=3;pos_nu=3
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,LR_100,1414.4781965791335,2.013335846958054,0.6517949000117369,100,False,False,hist_len=100
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,LR_200_cold,1390.4186490594066,0.31779270670712734,1.1734419999993406,200,False,False,hist_len=200
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,LR_100_plus_LR_100,1390.4186490594066,0.31779270670712734,1.1758170000393875,200,False,False,base_ub=1414.4781965791335;cont_ub=1390.4186490594066
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,cutLR_cap_warm_100,1389.1924694699915,0.2298075709559141,1.2317547000129707,200,False,False,base_ub=1414.4781965791335;cut_ub=1389.1924694699915;cap_cuts=50;incomp_cuts=0;pos_gamma=3;pos_nu=0
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,cutLR_pair_warm_100,1388.6138099141642,0.18823159437869852,1.2436396999983117,200,False,False,base_ub=1414.4781965791335;cut_ub=1388.6138099141642;cap_cuts=50;incomp_cuts=110;pos_gamma=3;pos_nu=7
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,cutLR_triple_warm_100,1389.4471352816304,0.24809402201053676,1.2022643000236712,200,False,False,base_ub=1414.4781965791335;cut_ub=1389.4471352816304;cap_cuts=50;incomp_cuts=136;pos_gamma=3;pos_nu=8
C_n080_035_a25_103,C,80,0.25,1897.0,,LR_100,1906.2823830677771,0.4869364135254187,1.1838486000197008,100,False,False,hist_len=100
C_n080_035_a25_103,C,80,0.25,1897.0,,LR_200_cold,1902.7612024271998,0.3027811592884436,2.3733896000194363,200,False,False,hist_len=200
C_n080_035_a25_103,C,80,0.25,1897.0,,LR_100_plus_LR_100,1902.7612024271998,0.3027811592884436,2.441196600033436,200,False,False,base_ub=1906.2823830677771;cont_ub=1902.7612024271998
C_n080_035_a25_103,C,80,0.25,1897.0,,cutLR_cap_warm_100,1902.0304442698355,0.2644775894618549,2.419441799982451,200,False,False,base_ub=1906.2823830677771;cut_ub=1902.0304442698355;cap_cuts=55;incomp_cuts=0;pos_gamma=8;pos_nu=0
C_n080_035_a25_103,C,80,0.25,1897.0,,cutLR_pair_warm_100,1902.7107600459324,0.30013810642425304,2.502991800021846,200,False,False,base_ub=1906.2823830677771;cut_ub=1902.7107600459324;cap_cuts=55;incomp_cuts=139;pos_gamma=6;pos_nu=4
C_n080_035_a25_103,C,80,0.25,1897.0,,cutLR_triple_warm_100,1901.8512244857445,0.25507907365657806,2.46952250006143,200,False,False,base_ub=1906.2823830677771;cut_ub=1901.8512244857445;cap_cuts=55;incomp_cuts=199;pos_gamma=6;pos_nu=4
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,LR_100,1265.1042546191388,2.3005419919246655,0.1939163999632001,100,False,False,hist_len=100
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,LR_200_cold,1240.699343566375,0.378765701033329,0.36238599999342114,200,False,False,hist_len=200
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,LR_100_plus_LR_100,1240.699343566375,0.378765701033329,0.390529099968262,200,False,False,base_ub=1265.1042546191388;cont_ub=1240.699343566375
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,cutLR_cap_warm_100,1239.3258978031893,0.26836345541432655,0.3874504999839701,200,False,False,base_ub=1265.1042546191388;cut_ub=1239.3258978031893;cap_cuts=54;incomp_cuts=0;pos_gamma=5;pos_nu=0
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,cutLR_pair_warm_100,1240.3758000482903,0.35278018549861834,0.3942693999852054,200,False,False,base_ub=1265.1042546191388;cut_ub=1240.3758000482903;cap_cuts=54;incomp_cuts=19;pos_gamma=5;pos_nu=5
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,cutLR_triple_warm_100,1237.4720117945697,0.11895313837724346,0.38786609994713217,200,False,False,base_ub=1265.1042546191388;cut_ub=1237.4720117945697;cap_cuts=54;incomp_cuts=48;pos_gamma=5;pos_nu=6
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,LR_100,1951.6979611098254,2.3926838086806637,0.674492200021632,100,False,False,hist_len=100
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,LR_200_cold,1928.192811312656,1.2028263551541303,1.3597837000270374,200,False,False,hist_len=200
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,LR_100_plus_LR_100,1928.192811312656,1.2028263551541303,1.4034803000395186,200,False,False,base_ub=1951.6979611098254;cont_ub=1928.192811312656
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,cutLR_cap_warm_100,1924.8947495649668,1.0335499938094315,1.4235762000316754,200,False,False,base_ub=1951.6979611098254;cut_ub=1924.8947495649668;cap_cuts=51;incomp_cuts=0;pos_gamma=6;pos_nu=0
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,cutLR_pair_warm_100,1924.8947495649668,1.0335499938094315,1.42126279999502,200,False,False,base_ub=1951.6979611098254;cut_ub=1924.8947495649668;cap_cuts=51;incomp_cuts=0;pos_gamma=6;pos_nu=0
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,cutLR_triple_warm_100,1914.0350446724617,0.4720417579401126,1.497704799985513,200,False,False,base_ub=1951.6979611098254;cut_ub=1914.0350446724617;cap_cuts=51;incomp_cuts=36;pos_gamma=8;pos_nu=3
C_n080_035_a50_104,C,80,0.5,2778.0,,LR_100,2824.7150483071377,1.653796843512915,1.4409411000087857,100,False,False,hist_len=100
C_n080_035_a50_104,C,80,0.5,2778.0,,LR_200_cold,2807.965390164625,1.0671566775567842,2.8614486000151373,200,False,False,hist_len=200
C_n080_035_a50_104,C,80,0.5,2778.0,,LR_100_plus_LR_100,2808.3200188206465,1.0796497057831536,2.840813899994828,200,False,False,base_ub=2824.7150483071377;cont_ub=2808.3200188206465
C_n080_035_a50_104,C,80,0.5,2778.0,,cutLR_cap_warm_100,2806.278355600571,1.00768177697466,2.8912480999715626,200,False,False,base_ub=2824.7150483071377;cut_ub=2806.278355600571;cap_cuts=55;incomp_cuts=0;pos_gamma=2;pos_nu=0
C_n080_035_a50_104,C,80,0.5,2778.0,,cutLR_pair_warm_100,2806.278355600571,1.00768177697466,2.8990157000371255,200,False,False,base_ub=2824.7150483071377;cut_ub=2806.278355600571;cap_cuts=55;incomp_cuts=0;pos_gamma=2;pos_nu=0
C_n080_035_a50_104,C,80,0.5,2778.0,,cutLR_triple_warm_100,2795.359925164072,0.6210264734711473,2.9434234000509605,200,False,False,base_ub=2824.7150483071377;cut_ub=2795.359925164072;cap_cuts=55;incomp_cuts=46;pos_gamma=3;pos_nu=1
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,LR_100,1446.4556012493674,0.10063227990614795,0.1939929000218399,100,False,False,hist_len=100
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,LR_200_cold,1445.3172246680285,0.02194844582312318,0.3530208999873139,200,False,False,hist_len=200
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,LR_100_plus_LR_100,1445.3172246680285,0.02194844582312318,0.37755190004827455,200,False,False,base_ub=1446.4556012493674;cont_ub=1445.3172246680285
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,cutLR_cap_warm_100,1445.2734799762306,0.01892236867413801,0.38724990002810955,200,False,False,base_ub=1446.4556012493674;cut_ub=1445.2734799762306;cap_cuts=54;incomp_cuts=0;pos_gamma=3;pos_nu=0
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,cutLR_pair_warm_100,1445.2734799762306,0.01892236867413801,0.37980890000471845,200,False,False,base_ub=1446.4556012493674;cut_ub=1445.2734799762306;cap_cuts=54;incomp_cuts=0;pos_gamma=3;pos_nu=0
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,cutLR_triple_warm_100,1445.2734799762306,0.01892236867413801,0.40180739999050274,200,False,False,base_ub=1446.4556012493674;cut_ub=1445.2734799762306;cap_cuts=54;incomp_cuts=7;pos_gamma=3;pos_nu=0
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,LR_100,2146.000000020007,9.322956406996434e-10,0.9114641000051051,100,False,False,hist_len=100
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,LR_200_cold,2146.000000020007,9.322956406996434e-10,1.757099799986463,200,False,False,hist_len=200
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,LR_100_plus_LR_100,2146.000000020007,9.322956406996434e-10,1.7105107000097632,200,False,False,base_ub=2146.000000020007;cont_ub=2146.000000020007
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,cutLR_cap_warm_100,2146.000000020007,9.322956406996434e-10,1.7729388999869116,200,False,False,base_ub=2146.000000020007;cut_ub=2146.000000020007;cap_cuts=51;incomp_cuts=0;pos_gamma=0;pos_nu=0
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,cutLR_pair_warm_100,2146.000000020007,9.322956406996434e-10,1.7276672999723814,200,False,False,base_ub=2146.000000020007;cut_ub=2146.000000020007;cap_cuts=51;incomp_cuts=0;pos_gamma=0;pos_nu=0
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,cutLR_triple_warm_100,2146.000000020007,9.322956406996434e-10,1.7927193000214174,200,False,False,base_ub=2146.000000020007;cut_ub=2146.000000020007;cap_cuts=51;incomp_cuts=0;pos_gamma=0;pos_nu=0
C_n080_035_a75_105,C,80,0.75,2934.0,,LR_100,2934.284964652013,0.009711553425992966,1.4863574000191875,100,False,False,hist_len=100
C_n080_035_a75_105,C,80,0.75,2934.0,,LR_200_cold,2934.0516230719622,0.0017594466149232365,3.0395057999994606,200,False,False,hist_len=200
C_n080_035_a75_105,C,80,0.75,2934.0,,LR_100_plus_LR_100,2934.054512777041,0.0018579333411722788,2.936371300020255,200,False,False,base_ub=2934.284964652013;cont_ub=2934.054512777041
C_n080_035_a75_105,C,80,0.75,2934.0,,cutLR_cap_warm_100,2934.0532477292213,0.0018148180937930182,3.0368120999773964,200,False,False,base_ub=2934.284964652013;cut_ub=2934.0532477292213;cap_cuts=55;incomp_cuts=0;pos_gamma=3;pos_nu=0
C_n080_035_a75_105,C,80,0.75,2934.0,,cutLR_pair_warm_100,2934.0532477292213,0.0018148180937930182,3.026590700028464,200,False,False,base_ub=2934.284964652013;cut_ub=2934.0532477292213;cap_cuts=55;incomp_cuts=0;pos_gamma=3;pos_nu=0
C_n080_035_a75_105,C,80,0.75,2934.0,,cutLR_triple_warm_100,2934.0532477292213,0.0018148180937930182,3.1164274999755435,200,False,False,base_ub=2934.284964652013;cut_ub=2934.0532477292213;cap_cuts=55;incomp_cuts=0;pos_gamma=3;pos_nu=0
D_n040_001_a25_001,D,40,0.25,715.0,715.0,LR_100,715.0171334584162,0.002396230469796608,0.1867750000092201,100,False,False,hist_len=100
D_n040_001_a25_001,D,40,0.25,715.0,715.0,LR_200_cold,715.0000057402178,8.028276620795163e-07,0.3619962999946438,200,False,False,hist_len=200
