instance,family,n,alpha,lb_incumbent,bks,LR_100,LR_100_plus_LR_100,LR_200_cold,cutLR_cap_warm_100,cutLR_pair_warm_100,cutLR_triple_warm_100,best_cutLR_method,best_cutLR_gap,best_cutLR_delta_vs_LR_100,best_cutLR_delta_vs_LR_200_cold,best_cutLR_delta_vs_LR_100_plus_LR_100,cutLR_cap_warm_100_delta_vs_LR200,cutLR_cap_warm_100_delta_vs_LR100_continue,cutLR_pair_warm_100_delta_vs_LR200,cutLR_pair_warm_100_delta_vs_LR100_continue,cutLR_triple_warm_100_delta_vs_LR200,cutLR_triple_warm_100_delta_vs_LR100_continue
D_n040_001_a75_003,D,40,0.75,1203.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,cutLR_cap_warm_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_n060_023_a25_067,D,60,0.25,1263.0,1263.0,2.761736182154069,1.3592262215286168,1.1990486779914058,0.8115055464498543,0.6815863544556469,0.7686628050638211,cutLR_pair_warm_100,0.6815863544556469,2.0801498276984223,0.5174623235357589,0.67763986707297,0.3875431315415515,0.5477206750787625,0.5174623235357589,0.67763986707297,0.4303858729275847,0.5905634164647957
D_n060_023_a50_068,D,60,0.5,1767.0,1767.0,2.5793044260992453,1.0915902825816992,1.0915902825816992,1.0325884082834529,1.0325884082834529,0.5438851231505687,cutLR_triple_warm_100,0.5438851231505687,2.0354193029486765,0.5477051594311305,0.5477051594311305,0.059001874298246326,0.059001874298246326,0.059001874298246326,0.059001874298246326,0.5477051594311305,0.5477051594311305
D_n060_023_a75_069,D,60,0.75,2015.0,2004.0,0.069322270624812,0.0533094906035348,0.0548626021593586,0.0547655045786757,0.0547655045786757,0.0547655045786757,cutLR_cap_warm_100,0.0547655045786757,0.014556766046136302,9.709758068290192e-05,-0.0014560139751408976,9.709758068290192e-05,-0.0014560139751408976,9.709758068290192e-05,-0.0014560139751408976,9.709758068290192e-05,-0.0014560139751408976
D_n080_045_a25_133,D,80,0.25,1910.0,,4.20386309098115,2.3623295009138263,2.3623295009138263,1.8468370060775496,1.845884703897524,1.8818279478964288,cutLR_pair_warm_100,1.845884703897524,2.3579783870836257,0.5164447970163024,0.5164447970163024,0.5154924948362767,0.5154924948362767,0.5164447970163024,0.5164447970163024,0.4805015530173975,0.4805015530173975
D_n080_045_a50_134,D,80,0.5,2749.0,,2.4595900933241004,1.9876662694563685,1.94407230914038,2.0974186592496338,2.0974186592496338,2.0278347808547528,cutLR_triple_warm_100,2.0278347808547528,0.4317553124693476,-0.08376247171437279,-0.04016851139838429,-0.1533463501092538,-0.10975238979326529,-0.1533463501092538,-0.10975238979326529,-0.08376247171437279,-0.04016851139838429
D_n080_045_a75_135,D,80,0.75,2952.0,,0.0338638672536403,0.0338638672536403,0.0338638672536403,0.0338638672536403,0.0338638672536403,0.0338638672536403,cutLR_cap_warm_100,0.0338638672536403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB_n100_001_a25_001,EB,100,0.25,1609.0,1609.0,1.2557508098322334,0.1835265522512696,0.1803320090255085,0.1375156498786656,0.1547257158561031,0.1510774691947817,cutLR_cap_warm_100,0.1375156498786656,1.1182351599535678,0.0428163591468429,0.046010902372603996,0.0428163591468429,0.046010902372603996,0.02560629316940541,0.028800836395166507,0.02925453983072679,0.03244908305648789
EB_n100_001_a50_002,EB,100,0.5,2822.0,2822.0,1.731462929312508,1.4698913581259043,1.419065552236797,1.0603659360163622,1.223772649039545,1.232968101335979,cutLR_cap_warm_100,1.0603659360163622,0.6710969932961457,0.3586996162204348,0.4095254221095421,0.3586996162204348,0.4095254221095421,0.1952929031972519,0.24611870908635924,0.18609745090081797,0.23692325678992532
EB_n100_001_a75_003,EB,100,0.75,3115.0,3115.0,1.6180539919348914e-07,1.240387268537401e-09,1.240387268537401e-09,1.2404018671682481e-09,1.2404018671682481e-09,1.2404018671682481e-09,cutLR_cap_warm_100,1.2404018671682481e-09,1.605649973263209e-07,-1.4598630847032357e-14,-1.4598630847032357e-14,-1.4598630847032357e-14,-1.4598630847032357e-14,-1.4598630847032357e-14,-1.4598630847032357e-14,-1.4598630847032357e-14,-1.4598630847032357e-14
